,Câu hỏi,A,B,C,D,Câu trả lời đúng
170,Tổng của 4 số chẵn liên tiếp là 68. Số lớn nhất là bao nhiêu?,16,18,20,22,D
171,"Một đồng xu được tung 3 lần. Xác suất ra đúng 2 mặt ngửa là:
",1/2,3/8,1/3,1/4,B
172,"Một công ty tăng giá 10%, sau đó giảm lại 10%. Giá cuối cùng so với ban đầu:",Giảm 1%,Giảm 0.5%,Giữ nguyên,Tăng 1%,A
173,"Một nghiên cứu cho thấy người ăn nhiều rau có tỷ lệ bệnh tim thấp hơn.
Kết luận: “Ăn nhiều rau làm giảm nguy cơ bệnh tim.”
Điều nào làm yếu kết luận trên?",Người ăn nhiều rau thường tập thể dục đều đặn.,Rau chứa ít chất béo.,Người ăn nhiều thịt dễ bị béo phì.,Rau có nhiều vitamin.,A
174,"Một công ty tuyên bố: “Sản phẩm của chúng tôi được 90% khách hàng hài lòng.”
Điều nào làm yếu tuyên bố này?",Khảo sát chỉ thực hiện với khách hàng thân thiết.,Câu hỏi khảo sát rõ ràng.,Có hơn 1000 người tham gia khảo sát.,Kết quả được công bố minh bạch.,A
175,Bậc của một đa thức là bậc của hạng tử có bậc.....trong dạng thu gọn của đa thức đó.,cao nhất,thấp nhất,tỉ lệ thuận,vô hạn,A
176,"Theo toán học, câu ""Sinh con đầu lòng chẳng gái thì trai"" là một biến cố......",Chắc chắn,Xác suất,Ngẫu nhiên,Bất khả thi,A
177,Số tự nhiên có 3 chữ số chia hết cho 7 là số nào?,100,101,105,110,C
178,Góc giữa kim giờ và kim phút lúc 3:15 là bao nhiêu độ?,7.5,15,30,45,A
179,"Một hộp có 3 bóng đỏ và 2 bóng xanh. Rút ngẫu nhiên 1 bóng, xác suất rút được bóng đỏ là:",2/5,3/5,1/2,3/2,B
180,Một bánh xe quay 120 vòng/phút. Trong 10 giây quay được bao nhiêu vòng?,10,20,30,40,B
181,"[.....] trong toán học là một phát biểu khẳng định một sự kiện nào đó, mà khẳng định đó chỉ nhận một trong hai giá trị ""đúng"" hoặc ""sai""?",Tiền đề,Mệnh đề,Hằng đẳng thức,Cả 3 đáp án đều sai,B
182,"Quy tắc: A = 1, B = 2, ..., Z = 26. Tổng giá trị các chữ cái của từ = số tương ứng.
Hỏi: Tổng giá trị của từ ZOPI là bao nhiêu?",64,66,68,70,B
183,"Một đồng xu đã được tung lên 12 lần, với 9 lần xuất hiện mặt ngửa, trong lần tiếp theo, bạn dự đoán tỉ lệ xuất hiện mặt ngửa sẽ:",Lớn hơn 50%,Nhỏ hơn 50%,50-50,Không xác định,C
184,"
Trong Logic, phát biểu nào sau đây là Điều kiện cần để một hình Tứ giác là Hình vuông?",Hình đó có hai đường chéo vuông góc với nhau.,Hình đó là Hình chữ nhật.,Hình đó là Hình thoi.,Hình đó có hai đường chéo bằng nhau.,B
185,Nếu TẤT CẢ các chim cánh cụt đều màu đen và trắng VÀ TẤT CẢ các chim cánh cụt đều thích nghi với lạnh. Vậy điều nào sau đây là kết luận hợp logic nhất?,Bất cứ loài nào thích nghi với lạnh đều là chim cánh cụt.,Bất cứ loài nào màu đen và trắng đều là chim cánh cụt.,Một loài vật màu đen và trắng VÀ thích nghi với lạnh có thể không phải chim cánh cụt.,Bất kỳ loài nào KHÔNG màu đen và trắng HOẶC KHÔNG thích nghi với lạnh thì KHÔNG phải là chim cánh cụt.,D
186,"Hình nào thay thế dấu hỏi (?): 4, 9, 16, 25, ?",50,30,36,49,C
187,"Nếu A > B VÀ B < C. Vậy, kết luận nào sau đây LUÔN LUÔN đúng?",C > A,A > C,A + B > C,Không có kết luận nào LUÔN LUÔN đúng.,D
188,"Nếu bạn đang đối diện về phía Bắc (North) và quay sang phải (Turn Right), bạn sẽ đối diện về hướng nào?",Tây (West),Đông (East),Nam (South),Đông Bắc (Northeast),B
189,"Số nào tiếp theo trong dãy số: 0, 1, 1, 2, 3, 5, 8, ...?",11,13,12,14,B
190,"Một người đàn ông sống ở tầng 10 của một tòa nhà chung cư. Hàng ngày, anh ta chỉ đi thang máy từ tầng 1 lên tầng 7, sau đó đi bộ lên tầng 10. Tại sao?",Anh ấy chỉ có thể với tới nút thang máy số 7.,Anh ta thích đi bộ để tập thể dục.,"Tầng 8, 9, 10 là của công ty anh ta, cần dùng thẻ.",Thang máy chỉ hoạt động đến tầng 7.,A
191,"Trong một dãy số, số đầu tiên là 3, các số tiếp theo được tính bằng cách nhân số liền trước với 2 rồi cộng thêm 1. Hỏi số thứ tư trong dãy là bao nhiêu
",16,63,15,31,D
192,Tập hợp các số nguyên tố nhỏ hơn 10 là gì?,"2, 3, 5, 7","1, 2, 3, 5, 7
","1, 3, 5, 7, 9
","2, 4, 6, 8",A
193,"Tìm số còn thiếu trong dãy: 8, 11, 15, 20, 26, ?
",32,35,33,34,C
194,"Tìm số còn thiếu: (4 * 5 = 9), (6 * 3 = 9), (7 * 4 = ?)
",10,3,28,11,D
195,"Nếu bạn quay 270 độ theo chiều kim đồng hồ từ hướng Bắc, bạn sẽ đối diện với hướng nào?",Đông,Tây,Nam,Bắc,B
196,Tìm tập hợp nghiệm của phương trình x^2−9=0.,x = 0,x=3,x=9 và x=-9,x=3 và x=-3,D
197,"Tính diện tích toàn phần của một hình lập phương có cạnh là 3 cm.
",36 mét vuông,9 mét vuông,27 mét vuông,54 mét vuông,C
198,"Cho ba người, A, B, và C. A không phải là người cao nhất. C cao hơn B. Ai là người cao nhất?
",C,A,B,Không thể xác định,C
199,"Một đoàn người cưỡi ngựa đi ngang qua, người ta thấy có tất cả 6 cái đầu và 18 cái chân. Hỏi đoàn đó có tất cả bao nhiều người và bao nhiêu con ngựa?",3 người 3 ngựa,4 người 4 ngựa,3 người 4 ngựa,4 người 3 ngựa,A
200,Banh nỉ là tên gọi khác của môn thể thao nào?,Cầu lông,Bóng bàn,Quần vợt,Bóng chày,C
201,"Chuseok là dịp lễ quan trọng để người Hàn Quốc quây quần bên gia đình, cúng tổ tiên để tỏ lòng biết ơn và ăn mừng mùa màng bội thu. Dịp này diễn ra vào thời gian nào theo âm lịch",31/12,1/1,15/8,3/3,C
202,Thụy Sỹ là quốc gia đa ngôn ngữ với 4 ngôn ngữ chính thức theo Hiến pháp Liên bang. Tiếng nào được sử dụng nhiều nhất (theo tỷ lệ % dân số)?,Tiếng Ý,Tiếng Pháp,Tiếng Romansh,Tiếng Đức,D
203,"Vị tổng bí thư nào được coi là ""người đặt nền móng cho sự nghiệp Đổi Mới"" ở nước ta năm 1986?",Đỗ Mười,Lê Duẩn,Trường Chinh,Lê Khả Phiêu,C
204,Tuyến đường sắt nào trên Trái Đất có đoạn đường ray thẳng dài nhất thế giới?,California Zephyr (Mỹ),Indian Pacific (Úc),Tran-Siberian (Nga),The Canadian (Canada),B
205,"Chiến thắng hạng mục ""Trình diễn Pop xuất sắc nhất của bộ đôi/nhóm nhạc"" tại Grammy 2025 thuộc về bài hát nào? ","Die With a Smile - Lady Gaga, Bruno Mars",Levitating – Dua Lipa & DaBaby,Uptown Funk – Mark Ronson & Bruno Mars,Rain On Me – Lady Gaga & Ariana Grande,A
206,Nghệ sĩ K-Pop đầu tiên được đề cử tại lễ trao giải Grammy là ai?,Jennie - BlackPink,Rose - BlackPink,Lisa - BlackPink,Jisoo - BlackPink,B
207,"Bài hát nào không nằm trong hạng mục đề cử ""Bài hát của năm"" tại lễ trao giải Grammy 2025?",Not Like Us,Fortnight,A Bar Song,Epresso,D
208,Taylor Swift lập kỷ lục bao nhiêu lần nhận được đề cử ở hạng mục Album của năm tại lễ trao giải Grammy,3,5,7,9,C
209,"Ở người, ống tiêu hoá cùng với....., tuỵ và các tuyến nước bọt tạo thành hệ tiêu hoá",dạ dày,gan,thận,tim,B
210,Bộ phim nào của Việt Nam ra mắt vào tháng 09.2025 lấy cảm hứng từ câu chuyện có thật về 2 chuyến bay gặp không tặc năm 1977 và 1978?,Máy bay mất tích,Tử chiến trên không,Cánh sát trên không,Tử chiến,B
211,"Nai sừng tấm Maple - một trong ba linh vật chính thức của FIFA World Cup 2026, được xem là biểu trưng của quốc nào ở Bắc Mỹ?",Hoa Kỳ,Mexico,Canada,Brazil,C
212,"Bộ phim ""Mưa Đỏ"" dựa trên tiểu thuyết cùng tên của nhà văn Chu Lai, khắc hoạ cuộc chiến đấu kiến cường 81 ngày đếm tại chiến trường nào năm 1972?",Nghệ An,Quảng Trị,Điện Biên Phủ,Củ Chi,B
213,Quốc gia nào sẽ đăng cai tổ chức các hoạt động của Diễn đàn hợp tác kinh tế châu Á - Thái Bình Dương năm 2026?,Việt Nam,Trung Quốc,Hàn Quốc,Nhật Bản,B
214,"Cột mốc ngã ba Đông Dương nằm ở tỉnh, thành phố nào của nước ta hiện nay",Nghệ An,Quảng Ngãi,Đà Nẵng,Quảng Trị,B
215,Quốc gia nào sẽ đăng cai SEA Games năm 2027?,Malaysia,Myanmar,Philipines,Vietnam,A
216,Quốc gia nào sẽ đăng cai SEA Games năm 2025?,Malaysia,Myanmar,Philipines,Thailand,D
217,Đây là tính năng gì trong ứng dụng VNeID,Thông tin cư trú,"Kiến nghị, phản ánh về ANTT",Cấp đổi thẻ căn cước,Thiện nguyện,B
218,Đây là tính năng gì trong ứng dụng VNeID,Thông tin cư trú,"Kiến nghị, phản ánh về ANTT",Cấp đổi thẻ căn cước,Thiện nguyện,A
219,"Tháng 05.2025, tại Hội nghị Cấp cao ASEAN lần thứ 46, các nước ASEAN đã nhất trí kết nạp quốc gia nào trở thành thành viên thứ 11 của ASEAN",Cuba,Đông Timor,Myanmar,Lào,B
220,Điểm cực đông của Đông Nam Á lục địa nằm trên lãnh thổ quốc gia nào hiện nay?,Indonesia,Philipines,Thái Lan,Cả 3 đáp án đều sai,D
221,Cầu thủ đã giành giải Quả Bóng Vàng nam Châu Âu năm 2025?,Ousmane Dembélé,Lionel Messi,Kylian Mbappé,Erling Haaland,A
222,"Từ ""critical"" có nguồn gốc từ ngôn ngữ nào?
",Tiếng Hy Lạp cổ,Tiếng Latin,Tiếng Đức cổ,Tiếng Đan Mạch,A
223,Nước nào trên thế giới không có giao thừa?,Hàn Quốc,Ấn Độ,Nhật Bản,Không có đáp án chính xác,D
224,"Bỏ ngoài nước trong, ăn ngoài bỏ trong là gì?",Bắp ngô,Củ khoai,Củ từ,Cà rốt,A
225,Bộ phim nào đã giành giải Phim hay nhất (Best Picture) tại Lễ trao giải Oscar lần thứ 96 (đầu năm 2024)?,Oppenheimer,Anatomy of a Fall,Killers of the Flower Moon,Poor Things,A
226,Album nào đã đoạt giải 'Album của năm' tại Lễ trao giải Grammy lần thứ 66 (đầu năm 2024)?,Midnights của Taylor Swift,"
World Music Radio của Jon Batiste",GUTS của Olivia Rodrigo,SOS của SZA,A
227,"Bộ phim điện ảnh nào của Việt Nam, ra mắt năm 2024, đã đạt doanh thu kỷ lục phòng vé cao nhất mọi thời đại của điện ảnh Việt (tính đến giữa năm 2024)?","Đào, Phở và Piano",Mai,Nhà Bà Nữ,Lật Mặt 7: Một Điều Ước,B
228,"Bộ phận nào trong máy tính chịu trách nhiệm thực hiện hầu hết các phép tính toán và xử lý dữ liệu, được ví như 'bộ não' của máy tính?",CPU,RAM,Ổ cứng ,Card mạng,A
229,"COD (Cash on Delivery) là phương thức thanh toán phổ biến trong E-commerce, có nghĩa là gì?",Thanh toán bằng thẻ tín dụng.,Thanh toán trả góp trong nhiều tháng.,Thanh toán thông qua ví điện tử.,Thanh toán bằng tiền mặt hoặc chuyển khoản khi hàng được giao đến tay người mua.,D
230,"
Trong E-commerce, thuật ngữ 'LTV' (Lifetime Value) của khách hàng được tính bằng công thức cơ bản nào?",(Giá trị đơn hàng trung bình) × (Số lần mua hàng trung bình) × (Thời gian duy trì quan hệ),Tổng doanh thu / Tổng số khách hàng,Chi phí mua lại khách hàng (CAC) $\times$ Tỷ lệ chuyển đổi,Tổng lợi nhuận / Chi phí hoạt động,A
231,"Trong E-commerce, chỉ số 'CAC' được định nghĩa là gì?",Tổng chi phí tiếp thị và bán hàng để thu hút một khách hàng mới.,Tỷ lệ khách hàng quay lại mua hàng.,Doanh thu trung bình của một đơn hàng.,Tổng lợi nhuận thu được từ một khách hàng.,A
232,"Dự án điện ảnh hợp tác giữa Việt Nam và Hàn Quốc, lấy cảm hứng từ con người và văn hóa Việt, kể về hành trình chăm sóc mẹ già mắc Alzheimer ra mắt năm 2025 có tên là gì?",Mang Mẹ Đi Bỏ,Thám Tử Kiên: Kỳ Án Không Đầu,Quỷ Nhập Tràng,Nhà Gia Tiên,A
233,"Trong văn học dân gian Việt Nam, tục ngữ 'Ăn quả nhớ kẻ trồng cây' thể hiện rõ nét đạo lý truyền thống nào?",Lá lành đùm lá rách,Một nắng hai sương,Uống nước nhớ nguồn,Tôn sư trọng đạo,C
234,"Bộ phận nào của cây tre trong văn hóa Việt Nam được xem là biểu tượng của sự kiên cường, dẻo dai,",Cây tre/Thân tre,Măng tre,Gốc tre,Lá tre,A
235,"Thành phố nào của Việt Nam, từng là một thương cảng quốc tế sầm uất, nổi tiếng với những ngôi nhà cổ kính, mái ngói rêu phong và kiến trúc pha trộn giữa Việt Nam, Nhật Bản và Trung Quốc?",Chợ Lớn (TP.HCM),Khu phố cổ Hà Nội,Đà Lạt,Phố cổ Hội An,D
236,Album nào của Michael Jackson được coi là album bán chạy nhất mọi thời đại?,Thriller,Off the Wall,Dangerous,Bad,A
237,Hệ điều hành phổ biến nhất cho máy tính cá nhân hiện nay là gì?,Windows,macOS,Linux,Chrome OS,A
238,"Thành Cổ Loa, nổi tiếng với kiến trúc xoắn ốc và nỏ Liên Châu, là kinh đô của nhà nước nào?
",Văn Lang,Âu Lạc,Đại Việt,Đại Cồ Việt,B
239,"Sau khi đánh bại quân Nam Hán trên sông Bạch Đằng năm 938, Ngô Quyền đã chấm dứt thời kỳ nào của lịch sử Việt Nam?",Thời kỳ hơn 1000 năm Bắc thuộc,Loạn 12 sứ quân,Thời kỳ Bắc thuộc lần thứ nhất,Thời kỳ chống Pháp,A
240,"Ai là người có công dẹp loạn 12 sứ quân và lập ra nhà Đinh, đặt tên nước là Đại Cồ Việt?
",Đinh Bộ Lĩnh (Đinh Tiên Hoàng),Nguyễn Huệ,Lê Hoàn,Lý Công Uẩn,A
241,Tác phẩm nào của Lý Thường Kiệt được coi là bản Tuyên ngôn độc lập đầu tiên của Việt Nam?,Chiếu dời đô,Bình Ngô Đại Cáo,Hịch Tướng Sĩ,Nam Quốc Sơn Hà,D
242,Triều đại phong kiến cuối cùng của Việt Nam là triều đại nào?,Triều Hậu Lê,Triều Nguyễn,Triều Tây Sơn,Triều Mạc,B
243,"Năm 1858, thực dân Pháp bắt đầu cuộc xâm lược Việt Nam bằng việc tấn công địa điểm nào?",Sài Gòn,Đà Nẵng,Huế,Hà Nội,B
244,"Sự kiện nào đánh dấu miền Nam hoàn toàn giải phóng, đất nước thống nhất, kết thúc cuộc kháng chiến chống Mỹ cứu nước?",Tổng tiến công và nổi dậy Tết Mậu Thân (1968),Hội nghị Geneva (1954),Chiến dịch Hồ Chí Minh (30/4/1975),Hiệp định Paris (1973),C
245,Thủ đô Hà Nội ngày nay đã từng được biết đến với tên gọi nào trong thời kỳ nhà Trần?,Tây Đô,Hoa Lư,Thăng Long,Đại La,C
246,"Sau khi Pháp rút quân theo Hiệp định Genève (1954), ai là người đứng đầu chính quyền Việt Nam Cộng hòa ở miền Nam?",Bảo Đại,Nguyễn Văn Thiệu,Trần Văn Hương,Ngô Đình Diệm,D
247,Sự kiện nào đánh dấu sự bùng nổ của cuộc Toàn quốc kháng chiến chống thực dân Pháp (1946)?,Hiệp định Sơ bộ (6/3/1946),Pháp tấn công Đà Nẵng (1858),Chủ tịch Hồ Chí Minh đọc Lời kêu gọi Toàn quốc kháng chiến (19/12/1946),Chiến dịch Việt Bắc Thu Đông (1947),C
248,Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam hiện tại là ai?,Lương Cường,Phạm Minh Chính,Tô Lâm,Trần Thanh Mẫn,A
249,Thủ tướng Việt Nam hiện tại là ai?,Lương Cường,Phạm Minh Chính,Tô Lâm,Trần Thanh Mẫn,B
250,Cái gì bạn có thể giữ sau khi cho người khác,Lời hứa,Tiền,Đồ chơi,Đồ ăn,A
251,"Có bao nhiêu chữ C trong câu sau đây: ""Cơm, canh cháo gì tớ cũng chưa ăn!""",1,2,3,4,A
252,"Trong 4 thuật ngữ sau, loại nào có đặc tính ít giống với 3 loại còn lại?",Python,TensorFlow,Java,R,B
253,"Trong 4 loại sau đây, loại nào có đặc tính ít giống với 3 loại còn lại?",HTML,JavaScript,CSS,C,D
254,Một người thợ mộc cưa một khúc gỗ dài 10 mét thành các đoạn dài 1 mét. Mỗi lần cưa mất 2 phút. Hỏi người đó mất bao lâu để hoàn thành công việc?,18 phút,20 phút,22 phút,24 phút,A
255,Nước nào có dân số chỉ 500 người?,Vatican,Monaco,Nauru,Angola,A
256,Nước nào có xe buýt chạy trên đường sắt?,Mỹ,Nhật Bản,Đức,Anh,B
257,Quốc gia Đông Nam Á nào có hơn 700 ngôn ngữ?,Thái Lan,Indonesia,Myanmar,Campuchia,B
258,Nước nào có ga tàu điện ngầm sâu nhất thế giới?,Mỹ,Nhật Bản,Đức,Trung Quốc,D
259,Nước nào ở Đông Nam Á có đường sắt cao tốc đầu tiên?,Singapore,Indonesia,Myanmar,Campuchia,B
260,Ai được coi là cha đẻ của lý thuyết Tiến hóa?,Charles Darwin,Sigmund Freud,Albert Einstein,Isaac Newton,A
261,Loài động vật nào có khả năng bay cao nhất?,Dơi,Chim Én,Bướm,Đại bàng,D
262,Đâu là hành tinh gần nhất với Mặt Trời?,Sao Kim,Sao Mộc,Sao Hỏa,Sao Thủy,D
263,Loài động vật nào có tuổi thọ cao nhất?,Sư tử biển,Rùa,Cá voi,Sóc,C
264,"Trong tự nhiên, loài động vật nào có trí não phát triển nhất?",Khỉ,Cá heo,Cá voi,Voi,B
265,Động vật nào sinh sống ở cả trên cạn và dưới nước?,Cá Sấu,Cá heo,Cá ngựa,Sóc biển,A
266,Con sông nào là con sông dài nhất thế giới?,Sông Nile,Sông Amazon,Sông Mississippi,Sông Congo,A
267,Ai là người đã phát hiện ra nguyên tố oxy?,Joseph Priestley,Isaac Newton,Galileo Galilei,Michael Faraday,A
268,"Loại cây đặc trưng cho ngày Tết, không có hoa, cũng không có trái?",Cây mai,Cây đào,Cây tre,Cây nêu,D
269,"Tý, sửu, dần, mão, thìn, tỵ, ngựa, mùi, thân, dậu, tuất, hợi. Câu trên sai ở đâu?",Hợi,Ngựa,Dần,Thân,B
270,Đêm giao thừa có tên gọi khác là gì?,Đêm Trừ Tịch,Đêm chuyển giao,Đêm đón Tết,Đêm cúng Tết,A
271,"Theo truyền thuyết, ai là người đã sáng tạo ra bánh chưng, bánh dày?",An Dương Vương,Lạc Long Quân,Lang Liêu,Tiết Kiêu,C
272,"”Tóp mỡ, dưa hành, câu đối đỏ, cây Nêu, tràng pháo, bánh chưng xanh”. Câu đối trên sai ở điểm nào?",Tràng pháo,Tóp mỡ,Dưa hành,Câu Nêu,B
273,Cần cù bù...,Siêng năng,Chăm chỉ,Nỗ lực,Thông minh,D
274,"Tôi là em của núi, chẳng bao giờ chịu già. Thêm sắc vào thành vật che đầu phái nữ? Hỏi đó là chữ gì?",Đồi,Non,Sông,Cây,B
275,"Môn thể thao nào được chơi bởi các đội như Chelsea, AC Milan, Paris Saint-Germain?",Bóng chày,Bóng bầu dục,Bóng rổ,Bóng đá,D
276,Xương nhỏ nhất trong cơ thể người nằm ở đâu?,Bàn tay,Đầu gối,Tai,Hàm,C
277,Ai là vị thần tối cao trong thần thoại Hy Lạp?,Hades,Zeus,Poseidon,Hermes,B
278,Ngọn núi nào được coi là nơi cư ngụ của các vị thần Hy Lạp?,Olympus,Parnassus,Athos,Ida,A
279,Tên khởi đầu (original name) của Google là gì?,BackRub,PageRank,NetCrawler,LinkFinder,A
280,"""Cpink"" trong ngôn ngữ GenZ là gì ?",Chồng,Blackpink,Blackpink Trung Quốc,Hồng đen trong khu vực của bạn,A
281,https://drive.google.com/file/d/1LAhWOcVrrm12riG62p_6E8FFrFkxPXRo/view?usp=drive_link,Kenny & Freddy Chicken,Kentucky Fried Chicken,Kansas Fried Chicken,King Fried Chicken,B
282,https://drive.google.com/file/d/1rP8qJHYsI3_cXqCL5keqXzdilQFhCxtz/view?usp=drive_link,16,24,28,30,D
283,Hệ điều hành mã nguồn mở nổi tiếng được bắt đầu bởi Linus Torvalds là gì,FreeBSD,Unix,Minix,Linux,D
284,Mạng xã hội nào được ra mắt đầu tiên trong danh sách dưới đây?,MySpace,Friendster,Facebook,Orkut,B
285,Ngôn ngữ lập trình được thiết kế bởi James Gosling tại Sun Microsystems là gì?,C#,Python,Java,Ruby,C
286,Phần mềm diệt virus đầu tiên thương mại (hay được biết đến rộng) là gì?,McAfee VirusScan,AVG,Norton AntiVirus,Avast,C
287,Tên giao thức cho truyền siêu văn bản dùng trên web là gì?,FTP,SMTP,HTTP,TCP,C
288,"Nền tảng thương mại điện tử lớn khởi nguồn tại Trung Quốc, được thành lập bởi Jack Ma, là?",Tencent,Alibaba,Baidu,JD.com,B
289,"Thiết bị di động đầu tiên được gọi là ""smartphone"" theo nhiều sử gia công nghệ là sản phẩm của hãng nào?",Nokia,Palm,IBM (Simon Personal Communicator),Motorola,C
290,"Thuật toán nổi tiếng dùng để xếp hạng trang web, được phát triển bởi Larry Page và Sergey Brin, có tên là?",RankNet,HITS,LinkScore,PageRank,D
291,Ngôn ngữ lập trình Python được phát triển bởi ai?,Guido van Rossum,James Gosling,Bjarne Stroustrup,Dennis Ritchie,A
292,Tên gọi ban đầu của Facebook là gì?,Facemash,TheFacebook,FriendBook,SocialNet,B
293,Hệ thống quản lý cơ sở dữ liệu nổi tiếng MySQL thuộc sở hữu của công ty nào trước khi Oracle mua lại?,IBM,Sun Microsystems,Microsoft,Google,B
294,Ngôn ngữ lập trình được sử dụng chủ yếu để phát triển iOS là gì?,Objective-C,Kotlin,Swift,Java,C
295,"AI nổi tiếng do OpenAI phát triển, có khả năng xử lý ngôn ngữ tự nhiên là gì?",DeepMind,Watson,ChatGPT,Alexa,C
296,"Giải mã cụm từ: hspxui
Khoá: A=b",Growth,Talent,Vision,Empathy,A 
297,"Giải mã cụm từ: qspnfs
Khoá: A=b",Transcy,Mobile,Feedhub,Promer,D
298,"Chìa khoá A=1
Giải mã dãy số: 16.8.1.19.20 - 20.18.9.5.5.18.14",Can Đảm,Học Hỏi,Phát Triển,Tìm Tòi,C 
299,"Chìa khoá A=1
Giải mã dãy số: 6.9.5.18.7.18.15.21.16",FireGroup,Challenge,Empowered,Innovator,A
300,Thành phố nào có diện tích lớn nhất Việt Nam?,TP.HCM,Hà Nội,Bình Dương,Cần Thơ,B
301,Hòn đảo lớn nhất được mệnh danh là đảo Ngọc của Việt Nam,Hoàng Sa,Bình Ba,Nam Du,Phú Quốc,D
302,Thành phố tại Việt Nam được UNESCO công nhận là Di sản văn hoá thế giới?,Hà Nội,Quảng Nam,Hội An,Đà Nẵng,C
303,Sông nào chia Đà Nẵng thành 2 bờ đông tây?,Sông Hàn,Sông Hồng,Sông Giang,Sông Mã,A
304,Tỉnh nào có diện tích lớn nhất Việt Nam?,Nghệ An,Quảng Trị,Huế,Cà Mau,A
305,Vịnh Xuân Đài nổi tiếng thuộc tỉnh nào?,Phú Yên,Lạng Sơn,Điện Biên,BRVT,A
306,Động vật nào sau đây không thuộc loại cá,Cá ngừ,Cá mập,Cá chim,Cá voi,D
307,"Từ ""điều"" trong câu ""Nhiễu điều phủ lấy giá gương"" chỉ màu gì?",nâu,đỏ,xanh,xám,B
308,6371km là độ dài....Trái đất,đường kính,bán kính,từ mặt trăng đến,từ mặt trời đến,B
309,Tên thật của ca sĩ Sơn Tùng MTP,Tạ Thanh Tùng,Nguyễn Thanh Tùng,Nguyễn Sơn Tùng,Tạ Sơn Tùng,B
310,Đâu không phải anh trai góp mặt trong chương trình Anh Trai Vượt Ngàn Chông Gai,Jun Phạm,Rhymastic,Tiến Đạt,Hieuthuhai,D
311,"Ca sĩ nào được mệnh danh là 'Nữ hoàng nhạc Pop Việt Nam'?
",Hồ Ngọc Hà,Thu Minh,Mỹ Tâm,Văn Mai Hương,C
312,Ca sĩ nào được biết đến với biệt danh 'Ông hoàng nhạc Việt'?,Đàm Vĩnh Hưng,Bằng Kiều,Quang Lê,Tuấn Hưng,A
313,Ca khúc 'Lạc Trôi' là một trong những sản phẩm thành công nhất của ca sĩ/nhạc sĩ nào?,Noo Phước Thịnh,Jack97,Soobin Hoàng Sơn,Sơn Tùng MTP,D
314,"Nhóm nhạc nữ nổi tiếng vào thập niên 2000 với các thành viên như Lương Bích Hữu, Phạm Quỳnh Anh là nhóm nào?",HAT,Mây Trắng,Ba Con Mèo,Mắt Ngọc,A
315,Ca sĩ nào nổi tiếng với ca khúc 'Đường Đến Ngày Vinh Quang'?,Gạt Tàn Đầy,Microwave,Da LAB,Bức Tường,D
316,Ca sĩ nào được coi là biểu tượng của nhạc Rock Việt Nam với ban nhạc Bức Tường?,Phạm Anh Khoa,Thành Trung,Trần Lập,Nguyễn Hoàng,C
317,"Đây là bài hát nào:
""Sáng như đêm trăng rằm hội Lim, biết em đâu mà tìm
Trót thương em đâu thể ngồi im, cầm khăn í a làm tin""",Bắc Bling,Lạc Trôi,Hà Nội,Ngọt,A
318,Nguyên tố nào sau đây là kim loại kiềm?,Can Đảm,Na,Al,Mg,B
319,Công thức hóa học của axit sulfuric là gì?,H₂SO₄,H₂SO₃,HCl,HNO₃,A
320,Kim loại nào phản ứng mạnh với nước ở nhiệt độ thường?,Natri,Đồng,Sắt,Chì,A
321,Chất nào sau đây là khí độc?,CO,CO₂,N₂,O₂,A
322,Nguyên tố nào là thành phần chính trong than đá?,H,C,O,N,B
323,"Chất nào là hợp chất khí không màu, không mùi, không độc?",NH₃,NO,CO,N₂,D
324,FeCl2 + Cl2 -> X. Chất X là gì?,Fe(OH)3,HCl,FeCl3,Fe,C
325,"Để phân biệt CO2và SO2 (khí không màu), người ta có thể dùng dung dịch nào sau đây?",HCL đặc,H20,KMnO4 loãng,Ca(OH)2 loãng,C
326,"Kim loại nào sau đây có nhiệt độ nóng chảy thấp nhất?
",Natri,Thuỷ ngân,Sắt,Kẽm,A
327,327.webp,A,B,C,D,D
328,328.webp,A,B,C,D,B
329,329.webp,A,B,C,D,C
330,330.webp,A,B,C,D,A
331,331.webp,A,B,C,D,D
332,332.webp,A,B,C,D,A
333,333.webp,A,B,C,D,C
334,334.webp,A,B,C,D,C
335,335.webp,A,B,C,D,A
336,336.webp,A,B,C,D,C
337,337.webp,A,B,C,D,D
338,338.webp,A,B,C,D,B
339,339.webp,A,B,C,D,B
340,340.webp,A,B,C,D,B
341,341.webp,A,B,C,D,D
342,342.webp,A,B,C,D,A
343,343.webp,A,B,C,D,C
344,344.webp,A,B,C,D,C
345,345.webp,A,B,C,D,B
346,346.webp,A,B,C,D,D
347,347.webp,A,B,C,D,B
348,348.webp,A,B,C,D,C
349,349.webp,A,B,C,D,A
350,350.webp,A,B,C,D,B
351,351.webp,A,B,C,D,C
352,352.webp,A,B,C,D,C
353,353.webp,A,B,C,D,B
354,354.webp,A,B,C,D,A
355,355.webp,A,B,C,D,C
356,356.webp,A,B,C,D,D
357,357.webp,A,B,C,D,A
358,358.webp,A,B,C,D,B
359,359.webp,A,B,C,D,C
360,360.webp,A,B,C,D,C
361,361.webp,A,B,C,D,A
362,362.webp,A,B,C,D,D
363,363.webp,A,B,C,D,C
364,364.webp,A,B,C,D,A
365,365.webp,A,B,C,D,B
366,366.webp,A,B,C,D,D
367,367.webp,A,B,C,D,A
